Active,نشط
Add New,إضافة جديد
Al-Dhawaqa Restaurant,مطعم الذواقة
All,الكل
Allow pop-ups to print the receipt.,اسمح بالنوافذ المنبثقة لطباعة الإيصال.
Amount,مبلغ
Arabic Name,Arabic اسم
Back to POS,العودة لنقطة البيع
Both orders must belong to the same table to merge.,Both orders must belong إلى the same table إلى merge.
Branch,الفرع
Branch belongs to another company.,فرع belongs إلى another شركة.
Bundle,بندل
Bundle Components,مكونات البندل
Bundle Items,Bundle Items
Bundle items are required for bundle menu items.,Bundle items are required لـ bundle menu items.
Bundles,البندلات
Cancel,Cancel
Cannot split all items. Keep at least one item in original order.,Cannot split all items. Keep at least one صنف in original order.
Capacity,Capacity
Cart is empty,السلة فارغة
Cashier,الكاشير
Category,الفئة
Category Name,فئة اسم
Charge to Room,Charge إلى Room
Clear Order,مسح الطلب
Coming soon,قريباً
Company,الشركة
Company and Branch are required.,شركة و فرع are required.
Company is required.,شركة is required.
Complete Order,إتمام الطلب
Component,مكون
Connection Type,Connection نوع
Cost,تكلفة
Cost Amount,تكلفة مبلغ
Cost Center,مركز التكلفة
Cost Impact,تكلفة Impact
Cost of sales,تكلفة of مبيعات
Current Order,الطلب الحالي
Customer,العميل
Customer Profile,ملف العميل
Customer selected,تم اختيار العميل
Customers,العملاء
Date,التاريخ
Default Price,افتراضي سعر
Default Printer,افتراضي Printer
Delivery Driver,Delivery Driver
Delivery Fee,Delivery Fee
Delivery Status,Delivery حالة
Delivery Zone,Delivery Zone
Description,الوصف
Details,التفاصيل
Device Reference,Device Reference
Discount %,نسبة الخصم
Discount Percent,Discount Percent
Driver assignment is allowed for Delivery orders only.,Driver assignment is allowed لـ Delivery orders only.
Driver Name,Driver اسم
Driver Owner,Driver Owner
Due Amount,استحقاق مبلغ
Dynamic Price Enabled,Dynamic سعر Enabled
E-Invoice Status,E - فاتورة حالة
Edit Item,تعديل صنف
ErpGenex Item,صنف ErpGenex
ETA (Mins),ETA (Mins)
Filters,Filters
Fixed Price,سعر ثابت
Floor,Floor
Floor Code,Floor كود
Floor Name,Floor اسم
Further,Further
Generate Kitchen Tickets,Generate Kitchen Tickets
Gross margin %,Gross margin%
Gross profit,Gross profit
Hold Order,Hold Order
Hold/Resume,Hold Resume
Image,Image
Ingredient,مكون
Ingredient Item,Ingredient صنف
Ingredients,Ingredients
Invalid item type.,Invalid صنف نوع.
Invalid status for kitchen ticket.,Invalid حالة لـ kitchen ticket.
Inventory,المخزون
IP Address,IP عنوان
Is Active,Is نشط
Is Manufactured,Is Manufactured
Item,صنف
Item Code,كود الصنف
Item Name,اسم الصنف
Item Profitability,صنف Profitability
Item Type,صنف نوع
items,أصناف
Job Reference,Job Reference
Kitchen & Delivery,Kitchen & Delivery
Kitchen Display,شاشة المطبخ
Kitchen Print Job,Kitchen Print Job
Kitchen Print Template,Kitchen Print Template
Kitchen Printer,Kitchen Printer
Kitchen Station,Kitchen Station
Kitchen Station Performance,Kitchen Station أداء
Kitchen Ticket,Kitchen Ticket
Kitchen tickets generated.,Kitchen tickets generated.
Layout JSON,Layout JSON
Leave blank for all,اتركه فارغاً للكل
Leave blank to apply to all items,Leave blank إلى apply إلى all items
Line Amount,Line مبلغ
Line Cost,Line تكلفة
Line Reference,Line Reference
Load omnexa_core vertical portal desk,Load omnexa أساسي vertical بوابة desk
Load omnexa_core vertical workcenter kit,Load omnexa أساسي vertical workcenter kit
Logout,تسجيل خروج
Master Data,Master بيانات
Menu Category,Menu فئة
Menu Item,صنف القائمة
Menu Item Bundle Line,Menu صنف Bundle Line
Min Quantity,Min Quantity
Mobile No,Mobile No
Modifiers,Modifiers
Name,الاسم
New Item,صنف جديد
New Offer,عرض جديد
No items,لا توجد أصناف
No matching item rows found for split operation.,No matching صنف rows found لـ split operation.
No menu items found.,لا توجد أصناف.
No offers,No offers
No tickets,لا توجد تذاكر
Notes,Notes
Offer,عرض
Offer Name,اسم العرض
Offer Type,Offer نوع
Offers,العروض
Omnexa Restaurant,Omnexa مطعم
Operations,العمليات
optional,اختياري
Order completed,تم إتمام الطلب
Order has no items.,Order has no items.
Order is already submitted.,Order is already submitted.
Order Items,Order Items
Order must be in draft state for this operation.,Order must be in مسودة state لـ this operation.
Order No,رقم الطلب
Order Owner,Order Owner
Order Type,Order نوع
Orders,الطلبات
Overview,نظرة عامة
Paid Amount,مدفوع مبلغ
Payload,Payload
Payment Mode,دفعة Mode
Payment Reference,دفعة Reference
Payments,Payments
Percent Discount,خصم نسبة
Period (YYYY-MM),Period (YYYY - MM)
Posting Date,Posting تاريخ
